Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Chevrolet,Malibu,2017,regular unleaded,160.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,1385,25125
Subaru,BRZ,2016,premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,34,25,640,28495
Land Rover,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,19,14,258,79100
Chevrolet,Captiva Sport,2013,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,24940
Lotus,Evora 400,2017,premium unleaded (required),400.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,39,21,613,91900
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,27495
Ford,Mustang SVT Cobra,1998,regular unleaded,305.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,24,16,5657,3654
Ford,Taurus,2015,flex-fuel (unleaded/E85),288.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,29,19,5657,27055
Audi,Q7,2014,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,28,19,3105,64900
Ford,E-Series Van,2012,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,17,13,5657,28985
Chevrolet,Cavalier,2005,regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,1385,17710
Chevrolet,S-10,2003,regular unleaded,190.0,6.0,MANUAL,four wheel drive,3.0,Compact,Extended Cab Pickup,17,12,1385,21820
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,34,25,873,25385
Maybach,57,2010,premium unleaded (required),631.0,12.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,16,10,67,455500
Scion,iM,2016,regular unleaded,137.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,36,27,105,18460
Chevrolet,S-10,2002,flex-fuel (unleaded/E85),120.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Regular Cab Pickup,23,17,1385,19434
Nissan,300ZX,1994,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,16,2009,2553
Hyundai,Tiburon,2007,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,23,20,1439,20495
Chevrolet,Cruze,2017,regular unleaded,153.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,38,29,1385,21920
Hyundai,Elantra,2015,regular unleaded,145.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,37,27,1439,21700
Ford,Expedition,2017,regular unleaded,365.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,20,15,5657,65957
Ford,Explorer,2017,flex-fuel (unleaded/E85),290.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,16,5657,33310
Audi,A3,2016,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Compact,Sedan,33,24,3105,34200
Volvo,S60,2016,regular unleaded,325.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,27,18,870,47700
Ford,F-150,2017,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,21,15,5657,53704
Kia,Forte,2015,regular unleaded,201.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,22,1720,20590
Toyota,Venza,2014,regular unleaded,181.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,26,20,2031,31810
Lamborghini,Aventador,2016,premium unleaded (required),750.0,12.0,AUTOMATED_MANUAL,all wheel drive,2.0,Midsize,Coupe,18,11,1158,490700
Nissan,Frontier,2016,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,32080
Chevrolet,Express,2016,flex-fuel (unleaded/E85),285.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,16,11,1385,36715
Volkswagen,Golf,2015,regular unleaded,170.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,37,25,873,17995
Mercedes-Benz,CLA-Class,2015,premium unleaded (required),208.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Midsize,Sedan,32,24,617,33500
Chevrolet,Venture,2005,regular unleaded,185.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,24,17,1385,26835
Acura,RDX,2016,premium unleaded (recommended),279.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,19,204,40570
Dodge,RAM 150,1993,regular unleaded,180.0,6.0,MANUAL,rear wheel drive,2.0,Large,Regular Cab Pickup,17,14,1851,2000
Toyota,Pickup,1994,regular unleaded,116.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,25,19,2031,2000
Mercedes-Benz,CL-Class,2014,premium unleaded (required),621.0,12.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,18,12,617,215500
Ford,F-150,2015,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,25,18,5657,30090
GMC,Sierra 1500,2017,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,22,17,549,43995
Buick,Terraza,2005,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,23,16,155,31170
Dodge,Stealth,1996,regular unleaded,222.0,6.0,MANUAL,front wheel drive,2.0,Compact,Coupe,23,17,1851,3044
Mercedes-Benz,C43 AMG,2000,regular unleaded,302.0,8.0,AUTOMATIC,rear wheel drive,4.0,Compact,Sedan,21,16,617,5739
Acura,Integra,2000,regular unleaded,170.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,28,22,204,3652
Bentley,Continental Flying Spur Speed,2013,flex-fuel (premium unleaded required/E85),600.0,12.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,17,10,520,209600
Chrysler,Concorde,2004,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,27,19,1013,23480
Oldsmobile,Alero,2003,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,30,21,26,18085
Chevrolet,Malibu,2016,regular unleaded,160.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,27,1385,25020
Ford,Fiesta,2017,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,27,5657,15660
Dodge,Stealth,1995,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,Coupe,22,16,1851,3219
Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,19,15,2202,27600
Toyota,Tundra,2016,regular unleaded,310.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,19,15,2031,33270
Mazda,MPV,2005,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,23,16,586,28515
Toyota,Celica,2004,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,23,2031,17570
Hyundai,Santa Fe,2017,regular unleaded,290.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,25,18,1439,30800
GMC,Savana Cargo,2015,flex-fuel (unleaded/E85),285.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,17,11,549,33760
Acura,MDX,2016,premium unleaded (recommended),290.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,27,19,204,48640
Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,31,23,873,29395
Audi,Cabriolet,1996,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,22,17,3105,2631
Ford,Five Hundred,2005,regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,23,17,5657,25965
Volkswagen,GLI,2009,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,Sedan,29,22,873,25870
Porsche,Panamera,2016,premium unleaded (required),310.0,6.0,AUTOMATED_MANUAL,rear wheel drive,4.0,Large,Sedan,28,18,1715,78100
Toyota,Camry,2016,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,25,2031,23070
Audi,A3,2017,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Compact,Sedan,35,26,3105,37450
Volkswagen,Golf GTI,2017,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,32,24,873,26095
Volkswagen,Beetle Convertible,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,34,25,873,30500
Mazda,B-Series Pickup,2000,flex-fuel (unleaded/E85),143.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,20,15,586,3394
Mercedes-Benz,300-Class,1993,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,18,14,617,2540
Ford,F-250,1998,regular unleaded,220.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Extended Cab Pickup,18,13,5657,3096
Dodge,Magnum,2006,regular unleaded,340.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,15,1851,32855
Suzuki,SX4,2012,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,32,25,481,18199
Honda,Accord,2017,regular unleaded,189.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,26,2202,26215
Maserati,Quattroporte,2017,premium unleaded (required),523.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,15,238,145500
Suzuki,Aerio,2006,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,28,22,481,16199
Ford,Fiesta,2016,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,35,27,5657,18530
Ford,Ranger,2009,regular unleaded,143.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,26,21,5657,17990
Suzuki,Reno,2008,regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28,19,481,14939
Lincoln,MKS,2016,regular unleaded,350.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,24,17,61,41005
Plymouth,Breeze,1998,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,33,23,535,2000
GMC,Sierra 1500,2017,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Regular Cab Pickup,24,18,549,35080
Lexus,SC 300,2000,regular unleaded,225.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,22,17,454,4024
Ford,Fusion,2017,regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,20,5657,32610
Dodge,Ram Van,2000,regular unleaded,175.0,6.0,AUTOMATIC,rear wheel drive,3.0,Compact,Cargo Van,16,13,1851,2087
GMC,Sierra 1500 Classic,2007,regular unleaded,285.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,19,15,549,26820
Lincoln,Aviator,2004,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,16,12,61,43240
Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,30,22,204,31360
Audi,A6,2016,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,38,25,3105,63700
Volkswagen,Passat,2017,premium unleaded (required),280.0,6.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,28,20,873,29295
Volvo,S60,2015,regular unleaded,250.0,5.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,20,870,35450
Chevrolet,Silverado 1500 Hybrid,2013,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,23,20,1385,41135
Cadillac,Escalade ESV,2017,premium unleaded (recommended),420.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,20,15,1624,83995
Hyundai,Veloster,2014,regular unleaded,138.0,4.0,MANUAL,front wheel drive,3.0,Compact,2dr Hatchback,35,26,1439,17800
Infiniti,G Sedan,2012,premium unleaded (recommended),328.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,27,19,190,36900
Toyota,Tundra,2016,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,18,13,2031,31170
Plymouth,Voyager,1999,flex-fuel (unleaded/E85),158.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,22,16,535,2166
Toyota,Cressida,1992,regular unleaded,190.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,17,2031,2000
Volkswagen,Touareg,2015,premium unleaded (recommended),380.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,20,873,66995
Ford,Transit Connect,2015,regular unleaded,169.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Cargo Minivan,29,21,5657,23855
Cadillac,XTS,2016,regular unleaded,304.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28,18,1624,55705
Dodge,Daytona,1992,regular unleaded,100.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,29,20,1851,2000
GMC,Sierra 1500 Classic,2007,regular unleaded,295.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,19,14,549,27430
Maserati,GranSport,2005,premium unleaded (required),395.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Coupe,16,11,238,98172
Cadillac,Escalade ESV,2016,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,22,15,1624,75970
Porsche,911,2015,premium unleaded (required),520.0,6.0,AUTOMATED_MANUAL,all wheel drive,2.0,Compact,Convertible,24,17,1715,163000
Hyundai,Elantra Coupe,2013,regular unleaded,148.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,38,28,1439,19895
Suzuki,Swift,2001,regular unleaded,79.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,38,31,481,9299
Hyundai,Genesis Coupe,2015,premium unleaded (recommended),348.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,25,16,1439,34600
Mercedes-Benz,GL-Class,2014,premium unleaded (required),362.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,19,14,617,64550
Buick,Terraza,2006,regular unleaded,196.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Passenger Minivan,21,15,155,30250
Ford,Mustang,2017,premium unleaded (recommended),435.0,8.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,23,14,5657,42145
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,32,24,873,30875
BMW,4 Series Gran Coupe,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23,3916,40300
Honda,Civic,2015,regular unleaded,110.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,47,44,2202,25935
Porsche,968,1994,regular unleaded,236.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,15,1715,4878
Chevrolet,S-10,2003,flex-fuel (unleaded/E85),120.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Regular Cab Pickup,23,17,1385,16220
